Created At,Updated At,Location,What was it like playing the game? | I would tell someone who is representing themselves in court to play this game.,What was it like playing the game? | I learned something about going to court.,What was it like playing the game? | I enjoyed playing the game.,What was it like playing the game? | It would have been helpful to play this game before going to court.,Tell us anything else we should know about playing the game.,Have you ever been involved in a court case before?,"If yes, how were you involved?"
2/5/16 0:52,2/5/16 0:52,Massachusetts,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Lisa Stevens-Goodnight sat next to me while I played this game. She made several comments about how she helped make it.  I don't hold this against you,Yes,Defendants in an eviction case which reached an out of court settlement
2/5/16 9:24,2/5/16 9:24,Alberta,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,,Yes,I have been defendant and plaintiff
2/8/16 14:17,2/8/16 14:17,Connecticut,Strongly Agree,Strongly Agree,Agree,Agree,,Yes,
2/9/16 16:32,2/9/16 16:32,British Columbia,Disagree,Neutral,Disagree,Neutral,need more law information.. where to find it etc.. ,Yes,"Plaintiff, child support. "
2/12/16 9:25,2/12/16 9:25,Ontario,Agree,Agree,Agree,Agree,Well done! Many important concepts such as laying the foundation was included.,Yes,defendant
2/12/16 12:38,2/12/16 12:38,New Brunswick,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,"I answered the questions on the assumption of no prior knowledge with court process, other than question 2. I would have learned a lot from this if I had no prior experience through my own (defective) counsel. It would be very useful indeed to those with no knowledge. At the end there was no reference to appealing a judge's order, once issued, which leads people to believe a ruling cannot be challenged. The court fee waiver doesn't seem to be prevalent in Canada - it's very hit and miss, but I can't remember if this is going to be generic for the whole of N. America. Some adaptation might be required.",Yes,"I had a lawyer who cheated me with family court matters to keep earning fees! I then self represented through motions, hearings and appeals. I have supported many others going through legal process in criminal, non-criminal and civil proceedings at every level of court, even one who applied to the Supreme Court of Canada. Over the last 10 years I have seen too many unrepresented defendants who have no idea how to conduct themselves or how courts work. I am currently writing a self-help book for non-lawyers, so I am very interested in your tool and believe it is long overdue. I hope very much it will be publicly available soon."
2/13/16 15:45,2/13/16 15:45,Florida,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,No,
2/17/16 5:24,2/17/16 5:24,Northern Mariana Islands,,,,,"My internet speed is 2.6Mbps, and i couldn't get the game to load. :-( ",,
2/17/16 22:44,2/17/16 22:44,California,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,
3/7/16 15:05,3/7/16 15:05,Connecticut,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,"If it left one with a printable checklist of what to do as a result of their case that would be outstanding!  As well, varied cases would help laypeople, like myself, better navigate and prepare the small claims court judicial system.",No,
3/7/16 15:32,3/7/16 15:32,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,
3/15/16 8:25,3/15/16 8:26,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,It gave me confidence in going to court without a lawyer.Thank You,Yes,
3/15/16 11:24,3/15/16 11:24,Connecticut,,,,,evection,No,
3/15/16 18:42,3/15/16 18:42,,Agree,Neutral,Strongly Disagree,Strongly Agree,expunge past criminal record ,Yes,felony 14 years a few misc. DWI
3/20/16 16:55,3/20/16 16:55,,Agree,Neutral,Somewhat Agree,Agree,,Yes,plaintiff
3/21/16 12:29,3/21/16 12:29,Massachusetts,Agree,Strongly Agree,Neutral,Strongly Agree,,No,
3/21/16 21:44,3/21/16 21:44,Texas,Disagree,Neutral,Neutral,Neutral,,Yes,Jury Duty. Went to court also because of an accident. 
3/22/16 12:38,3/22/16 12:38,,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Im live in tampa,Yes,Im going to emcipate my parents 
3/22/16 12:38,3/22/16 12:38,,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Im live in tampa,Yes,Im going to emcipate my parents 
3/31/16 17:24,3/31/16 17:24,California,,,,,,No,
4/4/16 18:22,4/4/16 18:22,United Kingdom,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"It was impossible to start the game, because the start button actually activated the credits button... There was no way to start the game. ",No,
4/4/16 18:52,4/4/16 18:52,,Agree,Agree,Somewhat Agree,Agree,lots of reading,Yes,"as a teenager, I was raped & took the accused to court. Also, a few years ago I was attempted to be sued by someone who was hit by my vehicle after it was stolen (I was released from any responsibility)"
4/4/16 19:12,4/4/16 19:12,British Columbia,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,"It would be helpful to have the ""guide"" also online to be printed out perhaps with pictures and dot points for each section - Im not sure I can remember it all. At first I though graphics too basic but the positive aspect is that the graphics are not distracting. Text based would be an issue for someone who has literacy issues - perhaps it could have voices and animation option for those who dont read so well. Perhaps also a book you can click on with definitions of special words.",Yes,I have supported many people in family court and criminal court as a counsellor. I have been to court for my divorce and childrens issues
